Kanton;Datum und Zeit;Anzahl SMS pro Kanton und Stunde
AG;2017-07-01T08:00:00+02:00;15936
AG;2017-07-01T20:00:00+02:00;10115
AG;2017-07-01T06:00:00+02:00;9436
AG;2017-07-02T01:00:00+02:00;1617
AG;2017-07-02T03:00:00+02:00;1266
AG;2017-07-01T22:00:00+02:00;5723
AG;2017-07-02T02:00:00+02:00;1216
AG;2017-07-11T18:00:00+02:00;14968
AG;2017-07-12T08:00:00+02:00;18366
AG;2017-07-11T09:00:00+02:00;18154
AG;2017-07-11T20:00:00+02:00;12263
AG;2017-07-12T13:00:00+02:00;18730
AG;2017-07-11T10:00:00+02:00;18474
AG;2017-07-12T03:00:00+02:00;1930
AG;2017-07-12T04:00:00+02:00;4627
AG;2017-07-12T11:00:00+02:00;17076
AG;2017-07-11T22:00:00+02:00;4703
AG;2017-07-03T05:00:00+02:00;10417
AG;2017-07-04T15:00:00+02:00;20528
AG;2017-07-03T17:00:00+02:00;18062
AG;2017-07-04T05:00:00+02:00;11273
AG;2017-07-04T08:00:00+02:00;19784
AG;2017-07-04T09:00:00+02:00;18903
AG;2017-07-04T14:00:00+02:00;19568
AG;2017-07-04T12:00:00+02:00;19232
AG;2017-07-03T04:00:00+02:00;5153
AG;2017-07-04T03:00:00+02:00;2364
AG;2017-07-12T14:00:00+02:00;19048
AG;2017-07-12T16:00:00+02:00;18695
AG;2017-07-12T20:00:00+02:00;12862
AG;2017-07-13T06:00:00+02:00;14956
AG;2017-07-13T08:00:00+02:00;18669
AG;2017-07-13T09:00:00+02:00;17796
AG;2017-07-13T15:00:00+02:00;16702
AG;2017-07-13T16:00:00+02:00;17275
AG;2017-07-13T00:00:00+02:00;3073
AG;2017-07-13T03:00:00+02:00;3509
AG;2017-07-02T08:00:00+02:00;11563
AG;2017-07-02T10:00:00+02:00;13585
AG;2017-07-02T13:00:00+02:00;12609
AG;2017-07-02T16:00:00+02:00;13320
AG;2017-07-02T18:00:00+02:00;14155
AG;2017-07-02T11:00:00+02:00;13028
AG;2017-07-02T12:00:00+02:00;13092
AG;2017-07-03T00:00:00+02:00;1594
AG;2017-07-02T22:00:00+02:00;4317
AG;2017-07-03T02:00:00+02:00;1473
AG;2017-07-10T07:00:00+02:00;17810
AG;2017-07-10T13:00:00+02:00;16946
AG;2017-07-10T14:00:00+02:00;18061
AG;2017-07-10T18:00:00+02:00;14967
AG;2017-07-10T19:00:00+02:00;15558
AG;2017-07-10T03:00:00+02:00;1918
AG;2017-07-10T04:00:00+02:00;4866
AG;2017-07-10T05:00:00+02:00;9348
AG;2017-07-10T23:00:00+02:00;2340
AG;2017-07-10T22:00:00+02:00;4452
AG;2017-07-14T10:00:00+02:00;18733
AG;2017-07-14T17:00:00+02:00;15159
AG;2017-07-14T18:00:00+02:00;14251
AG;2017-07-14T11:00:00+02:00;17371
AG;2017-07-15T00:00:00+02:00;1957
AG;2017-07-05T16:00:00+02:00;19029
AG;2017-07-04T17:00:00+02:00;17712
AG;2017-07-04T20:00:00+02:00;13414
AG;2017-07-05T08:00:00+02:00;19683
AG;2017-07-05T12:00:00+02:00;18346
AG;2017-07-04T21:00:00+02:00;8564
AG;2017-07-04T23:00:00+02:00;3034
AG;2017-07-05T00:00:00+02:00;2098
AG;2017-07-05T03:00:00+02:00;2772
AG;2017-07-04T22:00:00+02:00;5205
AG;2017-07-05T17:00:00+02:00;16882
AG;2017-07-05T18:00:00+02:00;15958
AG;2017-07-06T15:00:00+02:00;19212
AG;2017-07-06T19:00:00+02:00;15720
AG;2017-07-06T21:00:00+02:00;10085
AG;2017-07-06T11:00:00+02:00;18430
AG;2017-07-05T21:00:00+02:00;8935
AG;2017-07-06T03:00:00+02:00;2379
AG;2017-07-05T22:00:00+02:00;5454
AG;2017-07-06T02:00:00+02:00;1608
AG;2017-07-07T07:00:00+02:00;18210
AG;2017-07-07T16:00:00+02:00;19074
AG;2017-07-07T18:00:00+02:00;15005
AG;2017-07-07T19:00:00+02:00;13115
AG;2017-07-08T08:00:00+02:00;15087
AG;2017-07-08T10:00:00+02:00;15866
AG;2017-07-07T11:00:00+02:00;18490
AG;2017-07-07T00:00:00+02:00;1887
AG;2017-07-07T21:00:00+02:00;9251
AG;2017-07-08T01:00:00+02:00;1547
AG;2017-07-08T14:00:00+02:00;14854
AG;2017-07-08T17:00:00+02:00;19862
AG;2017-07-08T19:00:00+02:00;12818
AG;2017-07-09T14:00:00+02:00;12341
AG;2017-07-09T17:00:00+02:00;15509
AG;2017-07-08T21:00:00+02:00;8411
AG;2017-07-09T03:00:00+02:00;1260
AG;2017-07-09T06:00:00+02:00;6023
BE;2017-07-08T15:00:00+02:00;36058
BE;2017-07-08T17:00:00+02:00;29047
BE;2017-07-09T11:00:00+02:00;27541
AR;2017-07-07T18:00:00+02:00;1383
BE;2017-07-09T06:00:00+02:00;13531
BE;2017-07-09T12:00:00+02:00;26207
AR;2017-07-07T03:00:00+02:00;161
AR;2017-07-07T04:00:00+02:00;313
AR;2017-07-07T09:00:00+02:00;797
AR;2017-07-07T02:00:00+02:00;105
BE;2017-07-03T08:00:00+02:00;38951
BE;2017-07-03T15:00:00+02:00;40838
BE;2017-07-03T20:00:00+02:00;30038
BE;2017-07-04T07:00:00+02:00;39215
BE;2017-07-04T06:00:00+02:00;33479
AR;2017-07-09T05:00:00+02:00;364
AR;2017-07-07T22:00:00+02:00;421
AR;2017-07-08T22:00:00+02:00;371
AR;2017-07-08T03:00:00+02:00;76
AR;2017-07-09T06:00:00+02:00;497
BL;2017-07-03T07:00:00+02:00;11205
BL;2017-07-03T08:00:00+02:00;11218
BL;2017-07-02T04:00:00+02:00;1439
BL;2017-07-02T07:00:00+02:00;5302
BL;2017-07-02T10:00:00+02:00;7867
BL;2017-07-02T15:00:00+02:00;7022
BL;2017-07-02T17:00:00+02:00;6721
BL;2017-07-02T21:00:00+02:00;3690
BE;2017-07-15T06:00:00+02:00;18123
BL;2017-07-03T01:00:00+02:00;932
BE;2017-07-03T11:00:00+02:00;42985
BE;2017-07-04T01:00:00+02:00;3577
BE;2017-07-04T00:00:00+02:00;4028
BE;2017-07-04T03:00:00+02:00;4256
AR;2017-07-07T07:00:00+02:00;1291
AR;2017-07-07T10:00:00+02:00;1000
AR;2017-07-07T15:00:00+02:00;1438
AR;2017-07-07T16:00:00+02:00;1462
AR;2017-07-07T06:00:00+02:00;1115
BE;2017-07-04T02:00:00+02:00;3581
BE;2017-07-14T05:00:00+02:00;15746
BE;2017-07-14T14:00:00+02:00;36931
BE;2017-07-14T07:00:00+02:00;36689
BE;2017-07-14T10:00:00+02:00;38641
BE;2017-07-12T03:00:00+02:00;4721
BE;2017-07-12T23:00:00+02:00;6657
BE;2017-07-05T05:00:00+02:00;20384
BE;2017-07-04T22:00:00+02:00;10827
BE;2017-07-04T12:00:00+02:00;39301
BE;2017-07-05T00:00:00+02:00;4194
AR;2017-07-07T19:00:00+02:00;1163
AR;2017-07-08T05:00:00+02:00;496
AR;2017-07-07T21:00:00+02:00;672
AR;2017-07-08T00:00:00+02:00;148
BE;2017-07-05T02:00:00+02:00;3867
AR;2017-07-08T06:00:00+02:00;898
BE;2017-07-05T08:00:00+02:00;39949
BE;2017-07-05T16:00:00+02:00;40542
AR;2017-07-10T11:00:00+02:00;1185
AR;2017-07-10T10:00:00+02:00;1293
AR;2017-07-10T14:00:00+02:00;1127
AR;2017-07-10T18:00:00+02:00;1296
AR;2017-07-10T12:00:00+02:00;1215
AR;2017-07-10T20:00:00+02:00;910
AR;2017-07-10T21:00:00+02:00;739
AR;2017-07-10T22:00:00+02:00;349
BE;2017-07-05T17:00:00+02:00;38150
BE;2017-07-05T19:00:00+02:00;33253
BE;2017-07-05T20:00:00+02:00;30394
BE;2017-07-04T08:00:00+02:00;39294
BE;2017-07-04T13:00:00+02:00;38334
BE;2017-07-04T14:00:00+02:00;40250
BE;2017-07-04T19:00:00+02:00;32994
BE;2017-07-04T20:00:00+02:00;30648
BE;2017-07-06T00:00:00+02:00;3681
BE;2017-07-05T23:00:00+02:00;5849
BE;2017-07-12T15:00:00+02:00;39127
BE;2017-07-12T16:00:00+02:00;38814
BE;2017-07-12T18:00:00+02:00;34190
BE;2017-07-12T19:00:00+02:00;33205
BE;2017-07-12T22:00:00+02:00;11224
BE;2017-07-12T12:00:00+02:00;35665
BE;2017-07-12T01:00:00+02:00;3855
BE;2017-07-15T08:00:00+02:00;31451
BE;2017-07-15T17:00:00+02:00;29537
BE;2017-07-12T09:00:00+02:00;40938
BE;2017-07-15T18:00:00+02:00;27661
BE;2017-07-16T05:00:00+02:00;6884
BE;2017-07-15T12:00:00+02:00;30162
BE;2017-07-14T23:00:00+02:00;8082
BE;2017-07-15T03:00:00+02:00;4279
BE;2017-07-16T01:00:00+02:00;4071
BE;2017-07-15T02:00:00+02:00;5545
AR;2017-07-12T09:00:00+02:00;1486
AR;2017-07-09T18:00:00+02:00;1158
AR;2017-07-11T11:00:00+02:00;1276
AR;2017-07-11T00:00:00+02:00;111
AR;2017-07-10T06:00:00+02:00;1024
AR;2017-07-11T23:00:00+02:00;155
AR;2017-07-12T01:00:00+02:00;90
GE;2017-07-04T00:00:00+02:00;3950
GE;2017-07-04T06:00:00+02:00;23232
GE;2017-07-04T09:00:00+02:00;41349
GE;2017-07-04T11:00:00+02:00;37004
GE;2017-07-04T17:00:00+02:00;32203
GE;2017-07-04T18:00:00+02:00;25191
GE;2017-07-04T22:00:00+02:00;10407
GE;2017-07-05T00:00:00+02:00;4189
GE;2017-07-05T07:00:00+02:00;34703
GE;2017-07-05T08:00:00+02:00;39524
GE;2017-07-05T09:00:00+02:00;38508
GE;2017-07-05T11:00:00+02:00;35205
GE;2017-07-05T12:00:00+02:00;35181
GE;2017-07-05T15:00:00+02:00;31971
GE;2017-07-05T17:00:00+02:00;28054
GE;2017-07-05T18:00:00+02:00;23893
GE;2017-07-05T20:00:00+02:00;18338
GE;2017-07-06T00:00:00+02:00;4249
GE;2017-07-06T06:00:00+02:00;22610
GE;2017-07-06T13:00:00+02:00;32833
GE;2017-07-06T14:00:00+02:00;32545
GE;2017-07-06T15:00:00+02:00;32073
GE;2017-07-06T21:00:00+02:00;14750
GE;2017-07-07T03:00:00+02:00;3210
GE;2017-07-07T04:00:00+02:00;5014
GE;2017-07-07T06:00:00+02:00;19027
GE;2017-07-07T07:00:00+02:00;29370
GE;2017-07-07T09:00:00+02:00;23546
GE;2017-07-07T10:00:00+02:00;28649
GE;2017-07-07T13:00:00+02:00;32470
GE;2017-07-07T14:00:00+02:00;31748
GE;2017-07-07T16:00:00+02:00;30276
GE;2017-07-07T17:00:00+02:00;27580
GE;2017-07-07T18:00:00+02:00;22805
GE;2017-07-07T19:00:00+02:00;19827
GE;2017-07-08T01:00:00+02:00;3068
GE;2017-07-08T06:00:00+02:00;8699
GE;2017-07-08T07:00:00+02:00;15038
GE;2017-07-08T08:00:00+02:00;20140
GE;2017-07-08T09:00:00+02:00;23052
GE;2017-07-08T12:00:00+02:00;21267
GE;2017-07-08T21:00:00+02:00;14996
GE;2017-07-08T22:00:00+02:00;13450
GE;2017-07-09T00:00:00+02:00;7069
GE;2017-07-09T05:00:00+02:00;4043
GE;2017-07-09T13:00:00+02:00;17195
GE;2017-07-09T14:00:00+02:00;17659
GE;2017-07-09T15:00:00+02:00;17431
GE;2017-07-09T19:00:00+02:00;16114
GE;2017-07-09T22:00:00+02:00;7682
GE;2017-07-09T23:00:00+02:00;4116
GE;2017-07-10T01:00:00+02:00;1926
GE;2017-07-10T04:00:00+02:00;4622
GE;2017-07-10T07:00:00+02:00;27964
GE;2017-07-10T12:00:00+02:00;31022
GE;2017-07-10T18:00:00+02:00;22741
GE;2017-07-10T20:00:00+02:00;17074
GE;2017-07-10T21:00:00+02:00;12979
GE;2017-07-10T22:00:00+02:00;8468
GE;2017-07-11T00:00:00+02:00;2707
GE;2017-07-11T02:00:00+02:00;2126
GE;2017-07-11T03:00:00+02:00;2624
GE;2017-07-11T08:00:00+02:00;31225
GE;2017-07-11T09:00:00+02:00;32234
GE;2017-07-11T14:00:00+02:00;30805
GE;2017-07-11T15:00:00+02:00;29792
GE;2017-07-11T16:00:00+02:00;29243
GE;2017-07-11T18:00:00+02:00;20765
GE;2017-07-11T21:00:00+02:00;14284
GE;2017-07-12T03:00:00+02:00;2615
GE;2017-07-12T04:00:00+02:00;4045
GE;2017-07-12T05:00:00+02:00;9442
GE;2017-07-12T06:00:00+02:00;17759
GE;2017-07-12T09:00:00+02:00;33010
GE;2017-07-12T10:00:00+02:00;35521
GE;2017-07-12T11:00:00+02:00;31463
GE;2017-07-12T12:00:00+02:00;30858
GE;2017-07-12T21:00:00+02:00;12374
GE;2017-07-12T22:00:00+02:00;8411
GE;2017-07-13T00:00:00+02:00;3182
GE;2017-07-13T02:00:00+02:00;2236
GE;2017-07-13T04:00:00+02:00;4260
GE;2017-07-13T08:00:00+02:00;31274
GE;2017-07-13T11:00:00+02:00;30955
GE;2017-07-13T12:00:00+02:00;33603
GE;2017-07-13T19:00:00+02:00;19028
GE;2017-07-14T00:00:00+02:00;3178
GE;2017-07-14T02:00:00+02:00;2345
GE;2017-07-14T04:00:00+02:00;4127
GE;2017-07-14T07:00:00+02:00;25383
GE;2017-07-14T08:00:00+02:00;30991
GE;2017-07-14T13:00:00+02:00;32341
GE;2017-07-14T14:00:00+02:00;30397
GE;2017-07-14T15:00:00+02:00;30460
GE;2017-07-14T17:00:00+02:00;25159
GE;2017-07-14T18:00:00+02:00;21566
GE;2017-07-14T22:00:00+02:00;10983
GE;2017-07-14T23:00:00+02:00;6286
GE;2017-07-15T01:00:00+02:00;3726
GE;2017-07-15T09:00:00+02:00;21978
AG;2017-07-09T07:00:00+02:00;9568
AG;2017-07-10T02:00:00+02:00;1499
AG;2017-07-13T17:00:00+02:00;15915
AG;2017-07-14T08:00:00+02:00;18408
AG;2017-07-13T23:00:00+02:00;2710
AG;2017-07-14T00:00:00+02:00;1350
AG;2017-07-14T04:00:00+02:00;4686
AG;2017-07-14T02:00:00+02:00;1361
AG;2017-07-15T07:00:00+02:00;11385
AG;2017-07-15T09:00:00+02:00;14434
AG;2017-07-15T10:00:00+02:00;14494
AG;2017-07-15T03:00:00+02:00;1462
AG;2017-07-15T04:00:00+02:00;2507
AG;2017-07-15T05:00:00+02:00;4204
AG;2017-07-15T02:00:00+02:00;1291
AG;2017-07-16T14:00:00+02:00;10809
AG;2017-07-16T15:00:00+02:00;11385
AG;2017-07-16T16:00:00+02:00;11826
AG;2017-07-17T06:00:00+02:00;13885
AG;2017-07-17T07:00:00+02:00;16363
AG;2017-07-17T15:00:00+02:00;16972
AG;2017-07-16T21:00:00+02:00;6988
AG;2017-07-17T21:00:00+02:00;7466
AG;2017-07-17T22:00:00+02:00;7737
AG;2017-07-15T15:00:00+02:00;12371
AG;2017-07-15T17:00:00+02:00;11359
AG;2017-07-16T09:00:00+02:00;12197
AG;2017-07-16T10:00:00+02:00;12160
AG;2017-07-15T11:00:00+02:00;13521
AG;2017-07-15T21:00:00+02:00;7286
AG;2017-07-16T00:00:00+02:00;2256
AG;2017-07-16T01:00:00+02:00;1691
AG;2017-07-16T06:00:00+02:00;5405
AG;2017-07-16T02:00:00+02:00;1346
AG;2017-07-18T09:00:00+02:00;16843
AG;2017-07-18T16:00:00+02:00;16295
AG;2017-07-18T17:00:00+02:00;15350
AG;2017-07-18T20:00:00+02:00;11803
AG;2017-07-18T12:00:00+02:00;15215
AG;2017-07-18T03:00:00+02:00;1775
AG;2017-07-18T04:00:00+02:00;4286
AG;2017-07-18T05:00:00+02:00;8420
AG;2017-07-18T22:00:00+02:00;4965
AG;2017-07-20T09:00:00+02:00;16641
AG;2017-07-20T10:00:00+02:00;16114
AG;2017-07-20T15:00:00+02:00;16371
AG;2017-07-20T20:00:00+02:00;11303
AG;2017-07-20T11:00:00+02:00;15618
AG;2017-07-19T21:00:00+02:00;7326
AG;2017-07-20T04:00:00+02:00;4017
AG;2017-07-21T02:00:00+02:00;1247
AG;2017-07-19T09:00:00+02:00;17009
AG;2017-07-19T06:00:00+02:00;12910
AG;2017-07-19T08:00:00+02:00;17010
AG;2017-07-19T10:00:00+02:00;16072
AG;2017-07-19T13:00:00+02:00;14163
AG;2017-07-19T14:00:00+02:00;15399
AG;2017-07-19T15:00:00+02:00;15954
AG;2017-07-19T19:00:00+02:00;12508
AG;2017-07-18T23:00:00+02:00;2418
AG;2017-07-19T02:00:00+02:00;1738
AG;2017-07-21T16:00:00+02:00;17624
AG;2017-07-21T17:00:00+02:00;17696
AG;2017-07-21T19:00:00+02:00;12517
AG;2017-07-21T09:00:00+02:00;16723
AG;2017-07-21T06:00:00+02:00;12900
AG;2017-07-21T12:00:00+02:00;14856
AG;2017-07-21T03:00:00+02:00;1770
AG;2017-07-21T05:00:00+02:00;7567
GL;2017-07-02T17:00:00+02:00;915
GL;2017-07-02T20:00:00+02:00;594
GL;2017-07-02T21:00:00+02:00;356
GL;2017-07-03T03:00:00+02:00;97
GL;2017-07-03T05:00:00+02:00;561
GL;2017-07-03T07:00:00+02:00;1055
GL;2017-07-03T08:00:00+02:00;1158
GL;2017-07-03T09:00:00+02:00;1080
GL;2017-07-03T17:00:00+02:00;973
GL;2017-07-03T19:00:00+02:00;881
GL;2017-07-03T21:00:00+02:00;455
GL;2017-07-04T01:00:00+02:00;80
GL;2017-07-04T02:00:00+02:00;72
GL;2017-07-04T03:00:00+02:00;103
GL;2017-07-04T11:00:00+02:00;1004
GL;2017-07-04T16:00:00+02:00;1044
GL;2017-07-04T18:00:00+02:00;1085
GL;2017-07-04T23:00:00+02:00;178
GL;2017-07-05T02:00:00+02:00;63
GL;2017-07-05T03:00:00+02:00;92
GL;2017-07-05T04:00:00+02:00;337
GL;2017-07-05T05:00:00+02:00;633
GL;2017-07-05T07:00:00+02:00;1137
GL;2017-07-05T08:00:00+02:00;1204
GL;2017-07-05T09:00:00+02:00;1073
GL;2017-07-05T10:00:00+02:00;1146
GL;2017-07-05T12:00:00+02:00;958
GL;2017-07-05T13:00:00+02:00;1032
GL;2017-07-05T17:00:00+02:00;1109
GL;2017-07-05T20:00:00+02:00;835
GL;2017-07-06T00:00:00+02:00;149
AR;2017-07-12T06:00:00+02:00;971
AR;2017-07-11T02:00:00+02:00;125
AR;2017-07-12T02:00:00+02:00;75
AR;2017-07-10T09:00:00+02:00;1312
AR;2017-07-10T08:00:00+02:00;1260
AR;2017-07-09T07:00:00+02:00;845
AR;2017-07-09T17:00:00+02:00;943
AR;2017-07-09T23:00:00+02:00;139
AR;2017-07-10T04:00:00+02:00;285
AR;2017-07-09T08:00:00+02:00;988
AR;2017-07-10T00:00:00+02:00;74
AR;2017-07-10T03:00:00+02:00;96
AR;2017-07-10T02:00:00+02:00;57
BE;2017-07-14T13:00:00+02:00;39161
BE;2017-07-14T17:00:00+02:00;35478
BE;2017-07-14T20:00:00+02:00;28002
BE;2017-07-14T21:00:00+02:00;19398
BE;2017-07-14T01:00:00+02:00;3792
BE;2017-07-17T05:00:00+02:00;16109
BE;2017-07-17T07:00:00+02:00;34435
BE;2017-07-17T08:00:00+02:00;36530
BE;2017-07-17T10:00:00+02:00;36279
BE;2017-07-17T18:00:00+02:00;31868
BE;2017-07-17T19:00:00+02:00;31093
BE;2017-07-17T20:00:00+02:00;27311
BE;2017-07-21T02:00:00+02:00;2944
BL;2017-07-03T09:00:00+02:00;10817
BL;2017-07-03T13:00:00+02:00;10028
BE;2017-07-25T07:00:00+02:00;34616
BE;2017-07-25T09:00:00+02:00;37731
BE;2017-07-25T14:00:00+02:00;34281
BE;2017-07-26T08:00:00+02:00;37474
BL;2017-07-03T10:00:00+02:00;11107
BE;2017-07-18T23:00:00+02:00;5314
BL;2017-07-03T12:00:00+02:00;10483
BL;2017-07-04T01:00:00+02:00;761
BE;2017-07-26T10:00:00+02:00;35854
BE;2017-07-26T21:00:00+02:00;17119
BE;2017-07-26T11:00:00+02:00;34462
BE;2017-07-24T07:00:00+02:00;34079
BE;2017-07-24T08:00:00+02:00;36253
BE;2017-07-24T10:00:00+02:00;36362
BE;2017-07-26T01:00:00+02:00;4026
BE;2017-07-24T06:00:00+02:00;24431
BE;2017-07-26T12:00:00+02:00;33758
BE;2017-07-26T02:00:00+02:00;4036
BL;2017-07-06T07:00:00+02:00;10176
BL;2017-07-01T16:00:00+02:00;7317
BL;2017-07-01T17:00:00+02:00;6660
BL;2017-07-01T11:00:00+02:00;8624
BL;2017-07-05T17:00:00+02:00;8155
BL;2017-07-05T23:00:00+02:00;1400
BL;2017-07-01T22:00:00+02:00;2626
BL;2017-07-02T03:00:00+02:00;921
BE;2017-07-20T21:00:00+02:00;17346
BE;2017-07-21T13:00:00+02:00;36200
BE;2017-07-21T16:00:00+02:00;45065
BE;2017-07-21T21:00:00+02:00;16497
BE;2017-07-21T08:00:00+02:00;35674
BE;2017-07-20T22:00:00+02:00;11839
BE;2017-07-22T00:00:00+02:00;4619
BE;2017-07-22T11:00:00+02:00;34282
BE;2017-07-22T12:00:00+02:00;30975
BL;2017-07-01T02:00:00+02:00;1324
BE;2017-07-31T08:00:00+02:00;36804
BE;2017-07-31T07:00:00+02:00;34273
BE;2017-07-31T15:00:00+02:00;37150
BE;2017-07-31T20:00:00+02:00;26197
BE;2017-07-31T21:00:00+02:00;19233
BE;2017-07-30T21:00:00+02:00;15614
BE;2017-07-31T12:00:00+02:00;33724
BE;2017-07-31T04:00:00+02:00;7005
BE;2017-07-31T02:00:00+02:00;3384
BL;2017-07-04T02:00:00+02:00;773
BE;2017-07-29T08:00:00+02:00;29423
BE;2017-07-29T09:00:00+02:00;30318
BE;2017-07-29T16:00:00+02:00;27914
BE;2017-07-29T17:00:00+02:00;27027
BE;2017-07-29T06:00:00+02:00;16336
BE;2017-07-29T12:00:00+02:00;28290
BE;2017-07-29T01:00:00+02:00;4287
BE;2017-07-29T04:00:00+02:00;5035
BE;2017-07-23T15:00:00+02:00;26086
BE;2017-07-23T17:00:00+02:00;26548
BL;2017-07-04T05:00:00+02:00;5615
BE;2017-07-23T05:00:00+02:00;6779
BL;2017-07-04T08:00:00+02:00;10740
BE;2017-07-23T03:00:00+02:00;3528
BE;2017-07-23T04:00:00+02:00;4355
BL;2017-07-04T03:00:00+02:00;1130
BL;2017-07-04T18:00:00+02:00;7483
BE;2017-07-22T23:00:00+02:00;6928
BE;2017-07-23T08:00:00+02:00;24314
BE;2017-07-23T14:00:00+02:00;23257
BE;2017-07-24T22:00:00+02:00;10126
BE;2017-07-25T06:00:00+02:00;25752
BE;2017-07-25T00:00:00+02:00;4210
BE;2017-07-25T01:00:00+02:00;3821
BE;2017-07-25T04:00:00+02:00;7659
BE;2017-07-22T13:00:00+02:00;28698
GE;2017-07-15T10:00:00+02:00;22714
GE;2017-07-15T11:00:00+02:00;20744
GE;2017-07-15T14:00:00+02:00;19853
GE;2017-07-15T18:00:00+02:00;16662
GE;2017-07-15T23:00:00+02:00;6124
GE;2017-07-16T02:00:00+02:00;3138
GE;2017-07-16T08:00:00+02:00;14530
GE;2017-07-16T09:00:00+02:00;17186
GE;2017-07-16T15:00:00+02:00;17919
GE;2017-07-16T16:00:00+02:00;17974
GE;2017-07-16T17:00:00+02:00;17354
GE;2017-07-16T18:00:00+02:00;17240
GE;2017-07-16T21:00:00+02:00;11938
GE;2017-07-16T23:00:00+02:00;4336
GE;2017-07-17T00:00:00+02:00;2614
GE;2017-07-17T02:00:00+02:00;2120
GE;2017-07-17T04:00:00+02:00;4496
GE;2017-07-17T05:00:00+02:00;9960
GE;2017-07-17T07:00:00+02:00;26485
GE;2017-07-17T08:00:00+02:00;30181
GE;2017-07-17T09:00:00+02:00;31236
GE;2017-07-17T12:00:00+02:00;29942
GE;2017-07-17T21:00:00+02:00;12650
GE;2017-07-17T22:00:00+02:00;8449
GE;2017-07-18T00:00:00+02:00;3112
GE;2017-07-18T02:00:00+02:00;1845
GE;2017-07-18T14:00:00+02:00;29757
GE;2017-07-18T19:00:00+02:00;17355
GE;2017-07-18T22:00:00+02:00;9205
GE;2017-07-19T03:00:00+02:00;2488
GE;2017-07-19T04:00:00+02:00;5033
GE;2017-07-19T06:00:00+02:00;17996
GE;2017-07-19T13:00:00+02:00;31312
GE;2017-07-19T16:00:00+02:00;28854
GE;2017-07-19T18:00:00+02:00;20539
GE;2017-07-19T23:00:00+02:00;4986
GE;2017-07-20T04:00:00+02:00;4963
GE;2017-07-20T06:00:00+02:00;19632
GE;2017-07-20T11:00:00+02:00;30167
GE;2017-07-20T16:00:00+02:00;30911
GE;2017-07-20T17:00:00+02:00;26141
GE;2017-07-21T02:00:00+02:00;2332
GE;2017-07-21T07:00:00+02:00;24879
GE;2017-07-21T10:00:00+02:00;32431
GE;2017-07-21T12:00:00+02:00;30566
GE;2017-07-21T14:00:00+02:00;29391
GE;2017-07-21T17:00:00+02:00;23475
GE;2017-07-21T18:00:00+02:00;22445
GE;2017-07-21T23:00:00+02:00;5581
GE;2017-07-22T02:00:00+02:00;2556
GE;2017-07-22T08:00:00+02:00;18080
GE;2017-07-22T09:00:00+02:00;21533
GE;2017-07-22T12:00:00+02:00;20939
GE;2017-07-22T15:00:00+02:00;19078
GE;2017-07-22T16:00:00+02:00;18631
GE;2017-07-23T00:00:00+02:00;3838
GE;2017-07-23T12:00:00+02:00;16234
GE;2017-07-23T16:00:00+02:00;17821
GE;2017-07-24T00:00:00+02:00;2957
GE;2017-07-24T01:00:00+02:00;2115
GE;2017-07-24T03:00:00+02:00;2318
GE;2017-07-24T08:00:00+02:00;28280
GE;2017-07-24T12:00:00+02:00;29333
GE;2017-07-24T13:00:00+02:00;29119
GE;2017-07-24T14:00:00+02:00;17665
GE;2017-07-24T19:00:00+02:00;17102
GE;2017-07-24T23:00:00+02:00;3810
GE;2017-07-25T00:00:00+02:00;2420
GE;2017-07-25T05:00:00+02:00;9948
GE;2017-07-25T08:00:00+02:00;28954
GE;2017-07-25T09:00:00+02:00;31109
GE;2017-07-25T12:00:00+02:00;29801
GE;2017-07-25T15:00:00+02:00;29258
GE;2017-07-26T01:00:00+02:00;1815
GE;2017-07-26T06:00:00+02:00;16473
GE;2017-07-26T07:00:00+02:00;24899
GE;2017-07-26T11:00:00+02:00;27928
GE;2017-07-26T14:00:00+02:00;27666
GE;2017-07-27T01:00:00+02:00;2526
GE;2017-07-27T06:00:00+02:00;16430
GE;2017-07-27T07:00:00+02:00;28665
GE;2017-07-27T08:00:00+02:00;28957
GE;2017-07-27T10:00:00+02:00;31854
GE;2017-07-27T11:00:00+02:00;28684
GE;2017-07-27T14:00:00+02:00;28001
GE;2017-07-27T16:00:00+02:00;27304
GE;2017-07-28T00:00:00+02:00;3146
GE;2017-07-28T07:00:00+02:00;22169
GE;2017-07-28T08:00:00+02:00;29221
GE;2017-07-28T09:00:00+02:00;29647
GE;2017-07-28T13:00:00+02:00;28370
GE;2017-07-28T14:00:00+02:00;27862
GE;2017-07-28T15:00:00+02:00;27884
GE;2017-07-28T18:00:00+02:00;20856
GE;2017-07-28T20:00:00+02:00;16949
GE;2017-07-29T01:00:00+02:00;3520
GE;2017-07-29T05:00:00+02:00;4815
GE;2017-07-29T10:00:00+02:00;22052
GE;2017-07-29T12:00:00+02:00;19772
GE;2017-07-29T16:00:00+02:00;19077
GL;2017-07-06T02:00:00+02:00;74
GL;2017-07-06T05:00:00+02:00;542
GL;2017-07-06T06:00:00+02:00;806
GL;2017-07-06T08:00:00+02:00;1019
GL;2017-07-06T10:00:00+02:00;1099
GL;2017-07-06T14:00:00+02:00;959
GL;2017-07-06T15:00:00+02:00;964
GL;2017-07-06T17:00:00+02:00;929
GL;2017-07-06T18:00:00+02:00;948
